Gene_ID	MCF7-2_shRB1-3_DMSO_1	MCF7-2_shRB1-3_DMSO_2	MCF7-2_shRB1-3_LY500nM_1	MCF7-2_shRB1-3_LY500nM_2
ZFX-AS1	1	5	1	0
RDH10	62	111	144	66
MIR1469	1	0	2	1
CCBL2	165	566	373	190
FKBPL	102	453	227	125
LIG1	1035	2988	2789	1591
MTRNR2L4	1	0	0	0
TAS2R43	0	0	0	0
SPAG11B	0	0	0	0
TRAPPC11	241	603	535	306
RPE65	0	0	0	0
CNTNAP1	0	16	8	2
SRD5A3-AS1	0	0	0	1
LOC101929717	1	0	0	0
FLJ33581	0	0	0	0
SMARCE1	1310	2819	2856	1678
KIAA2022	35	68	99	77
CXCR2P1	0	0	0	0
C6	0	0	0	0
FAM196B	0	5	1	1
CHMP2B	842	1230	1379	732
MPP5	506	873	1059	586
USPL1	130	173	145	85
MIR155HG	0	0	0	0
GATA3	12304	43687	37666	22865
NUP153	1012	1351	1886	1182
EDAR	0	0	0	1
CLEC19A	0	1	2	2
UPRT	86	155	118	74
UBE2Q1	829	2077	2055	1200
RAPGEF4-AS1	0	0	0	0
DSCR9	3	14	1	1
C1orf94	0	0	0	0
OSTM1	200	192	370	193
NOA1	368	1733	1147	779
TRAK2	807	1471	2043	1257
TNFRSF25	4	11	7	9
HIST1H3B	2	12	7	7
TCEANC2	117	262	204	131
VGLL3	0	0	0	0
GGNBP1	0	0	0	0
MBTPS2	551	1057	850	524
GPRASP2	2	4	4	0
C1GALT1	119	140	231	151
PON1	0	1	0	0
C20orf62	0	0	0	0
GAGE1	0	0	0	0
FATE1	0	2	1	2
XPO6	910	1638	2140	1239
TMEM256-PLSCR3	2	1	0	0
LOC101928797	0	0	0	0
HSPG2	297	2137	1312	1019
CRHR1-IT1	4	13	18	12
LPHN2	695	1193	1713	956
MAST2	794	2055	2299	1369
SLC25A13	798	1237	1538	700
APOA2	0	0	0	0
SLC16A7	116	176	178	130
MIR628	0	0	0	0
SIRT4	1	9	6	12
CASQ1	1	0	2	0
OR11H4	0	0	0	0
TPTE	4	8	13	6
LOC101929760	1	0	0	0
TAPBPL	28	169	102	55
TP53TG3B	0	0	0	0
PPM1G	3043	6729	8394	4895
HELLS	555	823	1021	528
CLK1	202	264	526	304
KRT38	0	0	0	0
GLUD1	1910	6766	3471	2148
TMEM25	211	1034	832	492
PARP9	198	372	384	193
LOC643339	0	1	0	0
DEAF1	236	903	915	470
EIF4E3	150	323	364	215
DONSON	162	182	249	128
SYS1-DBNDD2	0	0	0	0
LOC646762	41	185	127	106
GPR50	1	2	1	0
FAM216A	122	156	257	113
MIR548AL	0	0	0	0
PPM1B	677	1346	1369	820
MIR124-2	0	0	0	0
CYP2C8	0	0	0	0
CFL2	392	473	671	362
HINT3	579	1361	1105	575
ERCC1	419	1192	780	518
TRIM46	13	56	20	17
SRR	638	529	584	356
LOC101928992	0	0	0	0
UBR2	542	1429	1126	799
GPR78	0	0	0	1
ACAP3	129	502	564	320
FOSL2	314	1672	1004	872
SEC63	1909	4747	4117	2532
CREBRF	47	236	81	56
GOLGA4	1858	3366	3855	2696
PCDH15	1	1	0	0
FAM76A	41	97	102	63
MIR4786	0	1	0	0
TRPA1	0	0	0	0
MCM10	606	819	779	440
SLC39A12	0	0	0	0
HAP1	12	34	29	19
BLK	0	1	0	0
MPHOSPH6	859	1211	1270	556
ADAMTS4	2	3	2	1
NEK2	517	858	683	341
CLLU1	0	0	0	0
DMRT3	0	1	5	1
SNORD29	2	3	6	0
SAV1	362	654	677	359
ELN	0	0	0	0
LOC101928489	6	19	17	18
FGD3	31	130	64	34
ZBP1	0	0	0	1
ST7-OT4	3	2	4	8
SDHAF2	281	710	748	428
PRSS50	0	0	0	0
C2orf61	0	0	1	1
FAM138C	0	0	0	0
CD46	1468	2346	2283	1277
PRH1	0	1	0	0
ZNF503-AS2	14	24	27	20
ARMS2	0	0	0	0
ZC3HC1	110	211	174	100
COL5A3	0	4	4	2
LMCD1-AS1	6	18	17	7
ACTR3BP5	0	0	0	0
OSCAR	3	16	19	8
SIAH1	183	590	316	195
TBCCD1	42	52	99	55
PITPNA	1176	2620	3553	1991
TNXB	0	4	9	7
MIR764	0	0	0	0
FAM226A	0	0	0	0
SOX6	1	5	1	2
PP14571	0	9	6	3
MYH15	0	0	0	0
CDK5RAP1	184	483	411	251
P2RX4	215	900	668	420
ATPAF1	887	1796	1488	862
EGLN1	742	1012	1235	617
SFRP2	0	0	0	0
LOC100420587	0	0	0	0
KBTBD2	650	946	1037	523
TP53	728	3567	2555	1556
CLUAP1	359	995	745	467
KRT3	0	0	1	0
RAB6A	1499	2874	3143	1729
TRAPPC10	276	530	708	476
OTUD7B	992	2899	2626	1715
NXF2B	0	0	0	0
SMCR5	0	0	0	0
ETV7	6	18	25	17
LOC101928514	0	0	0	0
BOC	34	188	115	108
B4GALNT4	178	523	768	523
FER1L6	0	0	0	0
PRR9	0	0	0	0
SHISA5	996	3671	3872	2193
TICAM2	0	0	0	0
ACYP2	94	140	245	121
KLF9	152	422	298	278
TADA2B	331	776	929	448
ELMO2	178	562	505	376
ACAD8	179	556	442	299
FAM43A	29	172	136	93
SDR42E1	203	494	317	236
RPL21	0	1	0	0
CYP1A1	0	0	0	2
ZRANB3	144	324	365	214
BRCA1	745	906	1010	551
USP6NL	238	572	438	306
ACTN1-AS1	0	4	2	1
CCDC40	7	55	22	28
MTERFD2	114	364	258	179
FXN	132	270	325	174
LDLRAD3	166	709	551	427
ARHGAP32	773	1826	1530	1056
GCA	246	377	558	228
ZNF469	43	152	256	139
WDR18	304	1830	978	549
ASTN1	7	19	12	13
CACNB3	452	1377	1180	768
NEUROG1	0	0	0	0
LINC00652	0	0	2	0
OR2C1	0	0	0	0
ERCC-00076	0	0	0	0
PALMD	29	78	39	28
MIR6842	0	0	0	0
YWHAH	1237	2432	3050	1540
LOC101928388	0	0	0	0
PQLC2	123	579	452	335
EPN1	1638	8010	6546	3976
CLGN	34	179	118	102
UQCRC2	1542	4214	3226	1854
AARSD1	0	0	0	0
OMD	0	0	0	0
MIR30C1	0	0	0	0
REEP6	221	893	1182	669
ENPP7	0	0	0	0
PF4	0	0	0	0
BPGM	102	101	115	63
PLEKHO2	76	172	234	130
CASP4	13	60	36	29
UHRF1	101	212	244	309
SLC39A11	216	754	579	411
CINP	326	834	784	444
FAM189A1	1	4	5	1
USP47	750	1801	1580	906
BLID	0	0	0	0
RPH3A	0	0	0	0
LOC101928847	0	0	0	0
TRPM7	1071	1909	2327	1766
NCAM2	903	1915	1146	771
ACADVL	1609	7424	7177	4512
SNORA65	1	2	1	0
ANKDD1B	0	0	0	1
TMPPE	18	41	46	41
FNDC5	17	27	33	13
C6orf120	957	1317	1422	851
FAM213A	1375	3304	3469	1866
ELK3	54	120	175	132
CCL13	0	0	0	0
KIDINS220	738	1551	1911	1231
LOC284648	10	23	15	14
NPSR1	0	0	0	0
CCDC107	58	72	84	39
NDST1	1020	3033	3163	2198
HOXB4	0	2	0	1
LEF1-AS1	6	4	7	0
EXTL2	60	72	73	39
BAALCOS	3	2	2	2
ASB7	181	388	277	215
EFCAB4B	64	290	176	139
SNORD56B	0	0	0	0
KRT37	0	1	0	3
RANBP2	1787	3040	3474	2480
TMEM31	1	11	4	0
LOC101927267	58	61	26	20
SRGAP2-AS1	2	0	0	0
C12orf61	8	19	18	9
LINC01356	0	0	1	0
SCG3	0	0	0	0
HECTD2	183	419	265	165
LOC100507283	3	16	6	3
EFCAB11	188	361	332	163
LOC401324	0	0	0	0
CCDC116	0	1	0	1
TPPP2	0	0	0	0
C17orf104	35	61	55	34
OSBPL8	1147	1855	2282	1367
TTTY14	0	0	0	0
UFM1	385	749	809	459
PLEKHA6	524	2656	1760	1421
TBC1D28	0	0	0	0
IRS1	780	2820	2612	1883
AP1S2	227	362	440	209
ARRDC1	316	1639	1442	860
SYT1	276	690	547	356
KCNAB2	77	214	333	208
TCEA1	661	1327	993	511
LINC01194	5	42	18	17
ZNF25	51	92	85	64
PMVK	497	1348	1248	596
C14orf93	88	473	255	169
BLM	363	433	394	240
FAM217A	0	0	0	0
CDH6	0	0	0	0
TCTE3	3	4	3	1
ACCSL	0	0	0	0
ZNF487	14	39	36	23
MIR7111	0	0	0	0
CARS	405	3307	882	851
PCDHAC1	7	25	34	30
QRICH2	4	5	4	7
MIR3689D1	0	0	0	0
PCK2	786	17343	3015	2684
RPLP0P2	1	12	16	9
DNAJA3	984	2780	2159	1260
PRPF31	755	2193	2110	1271
MIR548D1	3	0	0	0
FN3KRP	501	789	1258	616
OR52D1	0	0	0	0
FAM200B	184	305	362	221
TREML3P	0	0	0	0
LINC00308	0	0	0	0
ZBED5-AS1	47	91	115	42
CPXCR1	0	0	0	0
LOC389332	0	9	1	2
OR4C16	0	0	0	0
SLC4A8	111	198	292	188
TBCA	830	1871	2059	1141
FBXO47	0	0	0	0
BSPRY	414	1624	1204	758
CSTL1	0	1	0	0
MAGEB4	0	0	0	1
LOC285593	4	0	0	2
TMF1	550	924	927	561
SORBS3	309	1309	978	505
C8orf76	65	124	154	55
LINC00588	0	0	0	0
ZBTB11	460	730	729	454
WIPF1	325	780	402	238
TXNDC11	293	569	615	356
LINC00161	0	0	0	0
OR9A2	0	0	0	0
SULF2	5113	17635	18737	15420
ZNF555	38	107	91	42
TMEM199	295	608	686	373
RASSF10	2	2	8	5
HP08942	0	0	0	0
SLC35F5	680	1168	1454	690
TOE1	110	338	261	146
SH2D4A	145	549	335	174
GALR1	0	0	0	0
LOC100506844	17	44	34	10
PDPR	411	2148	1234	1126
LUZP4	0	0	0	0
LOC101929124	0	0	0	0
C17orf99	0	0	0	0
LOC101927132	0	0	0	0
SUPV3L1	208	561	439	254
TOPORS	376	494	505	286
CHRNG	0	0	0	0
EIF3M	2420	5171	4693	2588
EEF2	39473	172052	146749	98584
AP2A1	1110	5233	3933	2582
LRAT	0	0	0	0
ORAOV1	78	160	213	98
TMEM156	0	2	3	1
UBE3D	50	67	89	46
PREB	780	1916	2248	1116
MMD2	0	0	0	0
LOC728323	3	17	9	8
TMEM251	499	827	879	419
KRT86	6	12	36	9
TRAPPC1	677	1884	2508	1321
OPRD1	6	12	68	45
SOCS3	54	174	356	234
SFMBT2	73	340	199	161
DHX32	444	832	722	437
GPI	4920	14969	15512	8767
CTRB2	0	0	0	0
NR4A3	4	4	13	13
GRM1	0	0	4	0
STS	198	687	555	409
SORBS1	9	53	79	43
CTRC	0	0	0	1
PGPEP1	209	986	723	470
KIAA1456	7	18	19	25
PKD2L1	0	0	0	0
TRIM33	3556	6982	6818	4517
CYLD	149	433	227	160
TEX9	15	39	25	14
CXCL12	758	2208	1743	1108
TPST1	24	58	60	32
GPLD1	20	65	33	33
SNX2	1105	2403	2330	1297
SYCP1	0	0	0	0
LOC101927143	0	0	0	0
UNC119	149	536	530	333
TMEM138	225	309	408	189
CACNA1C-AS1	0	0	0	0
CACUL1	460	1106	1080	716
MIR8062	0	0	0	0
HINFP	143	596	392	241
MUC7	0	0	0	0
MIR30B	0	0	0	0
KAT7	734	2394	1448	864
ASIC2	0	0	1	2
GYPB	0	0	0	0
MIR936	0	0	0	0
POTEM	0	0	0	0
SHISA2	119	419	481	382
DDX5	6012	8715	9617	5937
SH3GL1P2	0	1	0	0
ARHGAP39	272	989	930	550
DEFB122	0	0	0	0
LOC101928748	0	0	0	0
LINC00341	4	35	8	7
LRP8	453	579	934	627
C1orf111	1	0	0	0
SNX1	751	1927	1864	1214
AQP4-AS1	0	0	0	0
FKBP1A-SDCBP2	0	0	0	0
CBX5	2764	5510	6922	5108
MIR4426	0	0	0	0
CSRNP1	112	381	427	266
EWSR1	3429	8481	7922	4885
LOC102724958	0	0	0	0
LINC01260	0	0	0	0
LINC00240	1	10	5	2
TRIM27	568	1870	1861	977
MIR6861	0	0	0	0
OPHN1	93	278	190	180
CRYAA	0	0	0	0
SCIMP	3	0	0	0
LY6G6E	0	0	0	0
LOC102723373	6	21	28	6
ZC3H7A	309	671	769	479
FOXS1	0	0	0	0
PKN1	1277	6291	3697	2165
MADD	554	2134	1618	1182
BLOC1S1	94	315	273	139
SLC6A14	3	8	8	5
GABARAPL2	933	2210	2039	1016
CRYBA2	1	3	6	3
TMEM161B	89	235	141	91
RRAS	87	456	334	214
MIR6073	0	0	0	0
FAM96A	605	855	1039	483
MIR6126	13	0	1	0
ZNF799	42	78	149	58
IL36G	0	0	0	0
MMP28	0	2	4	0
NCF1	0	0	0	0
DOC2GP	0	0	0	0
ORAI1	151	595	617	361
MIR124-1	0	0	0	0
PGRMC2	1006	1355	1656	843
PCDHGB2	17	82	43	46
PCDH7	243	388	719	479
TMX4	823	1578	1783	943
SLC36A4	109	159	252	109
STX1B	1	6	3	3
KRTAP4-11	0	0	0	0
KCNIP4	6	0	0	1
MAML3	104	357	291	240
LOC101927204	28	108	69	50
CSF2RB	0	1	0	0
NCOA2	315	811	642	449
MIR5696	0	0	0	1
UCMA	0	0	0	0
TNFRSF6B	0	0	0	0
CHD9	396	580	730	451
RGCC	7	15	23	11
C15orf53	0	0	0	0
HMGXB4	476	1066	956	559
TVP23C	8	65	15	23
PPP2R3B	0	0	0	0
PHKG1	87	9	18	9
DRC1	1	0	3	0
LOC100505817	0	0	0	0
EVA1B	44	262	271	116
FOXP4	830	3739	3659	2080
C3orf49	1	0	1	0
DRAXIN	2	5	2	4
RAD51AP1	197	319	274	144
PCDH11Y	0	0	0	0
MIR4417	0	0	0	0
ANXA2R	124	781	244	187
ZCCHC3	213	555	568	312
SFXN4	284	580	537	252
LOC100128714	0	1	2	0
PHF21B	3	6	7	4
PRM3	0	0	0	0
GGT3P	0	0	0	0
GYG2P1	0	0	0	0
TINAGL1	0	1	0	1
GSTP1	1	0	0	3
KIAA1377	56	234	146	103
TCOF1	1096	1755	2639	1386
KLC2	597	1344	1675	868
SERPINE3	2	0	0	0
MIR192	0	0	0	0
NEU4	0	2	0	1
ZNF341	36	184	161	111
THAP10	28	39	65	23
CSN2	0	0	0	0
CBX4	736	3498	1972	1396
MIR766	0	0	0	0
MIR103A2	0	0	0	1
ANG	4	56	7	11
MTBP	99	109	101	54
DEFB114	0	0	0	0
CTDSPL2	390	659	540	326
SART3	983	2413	2514	1645
KIAA1715	454	603	770	445
UROS	251	728	780	472
MANSC1	137	329	366	211
CHST4	0	0	0	0
EFCAB12	0	4	1	7
RTP3	0	0	0	0
TMEM51-AS1	3	9	3	10
MAPKBP1	37	129	157	102
CHP2	0	0	0	0
TMEM158	5	9	71	28
AKR7A2P1	0	1	1	0
ATP12A	1	3	3	1
CDC27	1144	2010	2036	1196
NDUFAF5	122	198	219	107
FBXW10	0	0	0	0
TBC1D10C	0	0	10	2
HIF1AN	698	2284	2125	1418
BLVRB	985	3850	2159	1220
PSG7	0	0	0	0
GEMIN4	357	712	962	556
NRP1	89	219	519	318
EPDR1	62	96	129	56
SSPO	19	159	122	127
USP35	86	267	177	151
LOC101927378	0	0	0	0
FAM203A	9	45	39	24
PRRT1	12	97	90	49
MIR6074	0	0	0	0
DNASE1L1	214	760	880	610
C1orf115	290	1030	822	545
CIDEA	0	0	0	0
FBLN1	1	4	2	2
LINC00452	0	0	0	0
GATA2	69	150	310	112
UBP1	1192	1661	3232	1620
DNTTIP2	612	757	1117	548
FLJ20518	0	0	0	0
LGALS4	0	0	0	0
MIR4668	0	0	0	0
LOC643802	1	0	2	2
CASC11	1	1	4	1
RAP1B	515	1079	1175	563
LY6G6D	0	1	1	0
TYW1B	3	5	3	4
LOC100505478	0	0	0	0
SYVN1	344	1452	1042	688
POMK	6	37	22	30
MIR4791	0	0	0	0
HIST1H4J	10	12	12	9
RMI2	523	1158	933	504
LACTB2	121	243	189	117
SNAR-A10	0	0	0	0
ZNF200	181	316	404	213
HMGN4	411	933	932	494
LOC101928519	0	0	0	0
RBM44	0	5	0	0
ARHGAP21	459	746	745	450
DNAJC17	176	575	332	219
SEC24C	1253	3908	3693	2370
MIR4484	0	0	0	0
IRF9	38	197	227	145
TOX3	117	273	252	181
RPS7	5785	11863	10370	6400
CD180	1	0	0	0
MYOM3	2	0	1	3
LRRC59	3446	5692	7235	4002
THRA	220	936	749	466
FMO5	111	279	185	142
LHFP	2	6	4	7
TAS2R41	0	0	0	0
FAM178A	544	654	1146	707
NSL1	255	524	387	241
SCP2	693	1584	1581	950
MON2	417	773	899	535
DIP2A-IT1	0	2	2	0
FRMD7	11	4	33	14
EI24	2292	4669	5933	2845
MYT1	1	1	7	1
SPI1	0	2	1	0
CDRT1	0	2	0	3
PPP1R16B	0	0	0	0
RAB3IP	255	644	640	405
ZNF211	56	173	131	86
ALDH1A3	17	30	19	10
IPMK	226	229	444	205
TMEM212	0	0	0	0
VCP	5346	9999	15152	8059
SSX6	0	0	0	0
UBAP1	321	794	901	506
GSTA7P	0	0	0	0
ITFG1	338	666	606	368
NEURL3	0	0	0	0
C6orf226	50	265	126	73
UNC5CL	0	6	5	2
USP17L12	0	0	0	0
RNU6-64P	0	0	0	0
CHRNB4	5	10	1	1
SLC7A5	3050	46751	7154	11544
RNF165	14	43	51	53
CMKLR1	0	0	0	0
RPAP2	126	202	227	121
NTRK3	1	0	9	2
KHDC1L	0	0	0	0
FBXO6	65	284	166	85
GLUL	3474	11993	7886	4725
YIPF5	600	1357	1123	636
MOCS1	80	349	193	120
LOC100506674	47	80	31	21
PKD1L3	7	0	0	2
BARHL2	0	0	0	0
LOC102724190	0	0	0	0
CCDC88C	275	1153	1262	1111
SLC24A4	0	0	1	0
SPHKAP	0	0	0	0
SLC2A9	0	0	0	0
OR2AK2	0	0	0	0
SEC1P	2	2	0	0
MKX	14	53	31	23
MIR6780B	0	0	0	0
MIR1297	0	0	0	0
LINC01019	0	0	0	0
LATS1	773	1421	1430	1019
CRTAC1	2	0	0	0
NDC80	1095	2179	1343	653
LOC283045	0	0	0	0
WDR31	25	132	47	49
SELPLG	0	2	3	2
DHRS2	386	1290	927	348
ACVR1B	228	762	726	512
PF4V1	0	0	0	0
LOC100131635	0	0	0	0
AKR1C2	31	128	38	14
WASF3	127	188	396	256
CASKIN1	233	234	225	152
SEPT2	2481	4198	4962	2905
SFI1	100	803	374	277
KHDRBS3	54	105	99	47
B3GNT3	20	80	64	53
ANP32A-IT1	0	0	1	1
LACTB	171	190	347	195
ADNP2	564	1127	1099	769
BRIP1	3887	5306	6254	3553
MIR548AX	0	0	0	0
SCAI	114	120	148	98
MUT	560	1270	920	615
ST6GALNAC1	0	0	0	0
ARHGAP8	2	3	1	6
RIPK2	555	1419	1096	592
LINC00266-3	0	0	0	0
GTSCR1	0	0	0	0
PNPLA8	163	333	236	116
LSM10	194	517	526	280
ARF4	701	1107	1364	679
MIR4280	0	0	0	0
MIR4689	0	0	0	0
CACNG1	3	21	12	3
USP13	559	1291	1118	730
NDOR1	186	927	1014	631
WDR34	1637	6200	5746	3192
RLF	370	450	512	345
TSPY2	0	0	0	0
KIAA0754	95	203	340	310
CAMKK1	49	126	161	109
LOH12CR2	3	13	5	5
CTSA	1012	3435	3016	1955
LINC00862	0	1	1	1
ZBTB6	325	440	566	312
C16orf92	0	0	0	0
DOK2	0	0	0	0
SBF2	120	270	287	241
GNAL	50	4	5	2
NR1I2	0	0	1	0
SMR3A	0	0	0	0
CXorf23	98	215	177	93
REPS1	653	1684	1120	630
LILRB5	0	0	1	0
FOXP1	423	1452	818	597
SNORD24	0	2	1	0
PPIE	339	879	711	377
UOX	0	0	0	0
PLEKHM2	513	2119	1569	1001
FAM200A	7	13	15	11
BUD13	210	570	400	240
LBX2	18	44	24	22
LOC102467075	0	0	0	0
CXorf49	0	0	0	0
HYKK	21	37	29	12
RTEL1-TNFRSF6B	0	0	0	0
GATA5	1	0	1	3
ZFHX2	34	124	173	99
LOC101927907	0	0	0	0
SYNE2	1540	4437	2650	2694
CX3CR1	0	11	0	3
SNORD113-1	0	0	0	0
SPANXA2	0	0	0	0
ZNF713	33	74	83	56
SOHLH1	0	0	0	0
SPON1	0	3	0	0
RPL23AP64	1	2	0	0
SCML1	123	167	199	118
MNT	165	828	536	391
CA8	138	328	151	71
LOC100506403	0	0	0	0
TXNL4A	1038	2504	2956	1530
HIP1R	658	2358	2271	1531
TSPAN5	179	524	460	332
JRKL	22	51	55	37
RILPL2	140	449	399	278
SLC5A1	0	0	0	0
KIF3C	335	963	885	587
OAS1	20	70	101	69
NBPF12	3	15	14	19
LOC284344	0	0	0	0
SLC9A9-AS1	0	0	0	0
DIO2	0	0	0	0
B3GALT2	1	0	0	0
FRG2	0	0	0	0
RHBDL3	7	50	38	25
SCARNA3	0	1	0	1
KCNK7	0	7	7	7
MMP21	0	0	0	0
NME1-NME2	0	0	0	0
TGM1	6	39	27	8
AHNAK	9400	27157	23596	20169
EED	511	753	779	380
ZNF726	33	59	30	28
LCMT2	120	240	311	193
HRSP12	626	913	1344	619
UBE2C	755	1885	1507	649
CHADL	37	32	36	17
NETO1	0	0	0	0
CERS3	0	1	0	0
C12orf54	0	0	0	0
PPY	0	0	0	0
MIR5197	0	0	0	0
SDHA	1296	3910	5191	2842
PRR15L	256	1130	973	558
ZNF253	398	761	601	340
EBAG9	496	1206	719	386
GCSAML	0	0	0	0
SEMA3E	113	273	238	134
QARS	965	4146	3255	2364
EPHA1-AS1	0	1	0	1
CKAP4	1121	2312	2572	1346
SNORD23	1	6	4	1
SLC35F2	209	567	592	413
NT5E	5	8	28	1
ZBED1	0	0	0	0
ZDHHC5	583	1271	1586	908
C16orf93	48	104	76	65
RNF113B	0	0	0	0
CMTM6	542	901	1198	645
LOC101928075	0	0	0	0
ATG2B	269	734	463	359
BEND2	0	0	0	0
MIR611	0	2	0	0
LINC01210	0	0	0	0
ZNF286A	116	253	295	194
LOC100133461	0	0	0	0
L3MBTL1	0	0	0	0
DCAF4L1	1	1	2	3
OR9Q1	0	0	0	0
CCDC96	20	68	67	41
LINC00163	0	0	0	0
APEX1	2191	5834	5996	3534
LOC101927948	0	0	0	0
ANKRD44-IT1	0	0	0	0
XKR4	0	0	0	0
POLR2E	1138	4172	4318	2281
MIR7162	0	0	0	0
SLC5A7	0	0	0	0
GNL1	1081	4513	2874	1787
MRPL41	968	3215	3690	1698
SPANXA1	0	0	0	0
MIR30A	0	0	0	0
RS1	0	1	0	0
RNASE1	0	0	0	1
LYPLA2	391	1003	1571	894
CASC1	2	14	4	2
FAM222A-AS1	0	0	0	0
CRADD	89	337	228	133
PRKRIP1	2	18	12	7
SYT10	4	8	19	9
APELA	4	0	12	6
DDX11	146	457	441	270
INCA1	16	20	14	7
MIER2	137	491	491	302
LRRC69	1	4	5	6
MAP2K3	366	869	1380	777
PTCH2	3	1	5	1
RAB11FIP3	845	2465	3160	1808
FSTL3	60	169	238	148
CACNG4	967	3402	4121	2332
HSD17B6	37	44	36	25
TMEM258	760	2054	1906	1032
BOD1L2	0	0	0	0
C22orf42	0	0	0	0
ZSCAN5A	20	12	35	19
TMEM155	0	0	0	0
HORMAD1	0	0	0	0
CHST14	245	792	851	419
DDX56	696	1970	1864	1084
MIR216B	0	0	0	0
GAS6	92	428	396	253
LIME1	6	26	21	26
SACM1L	283	368	455	268
FZR1	256	1008	915	605
KCNK2	107	121	567	208
SNAP25	0	0	0	0
WDR91	47	123	145	87
NAP1L1	6962	12741	15204	8839
GABRA1	95	95	246	100
PPT2-EGFL8	0	2	1	0
CYP3A5	1	0	0	0
MIR510	0	0	0	0
MIR4534	0	0	0	0
LINC00670	0	0	0	0
GSTA4	104	240	333	158
SLMAP	164	256	304	193
TERF1	195	274	313	164
MNS1	89	275	136	89
OPA3	312	557	818	446
TSPEAR-AS1	2	0	2	0
SDHC	1247	2696	2841	1732
LINC00645	0	0	4	1
VAV2	632	1980	1927	1326
CLEC7A	0	4	0	10
GSTK1	275	1006	1014	530
TLR8-AS1	0	0	0	0
MIR6513	0	0	0	0
DHRS7C	0	0	0	0
DDX20	643	801	1122	483
CCT6B	34	93	79	33
SPATS2L	525	1144	1140	569
MIR3614	0	0	0	0
APLNR	0	0	0	0
NDUFS1	1945	4894	3962	2583
TRPT1	198	1040	737	361
DDX41	507	1815	1577	1033
NCAPD2	3198	6459	6257	3249
TMPRSS5	0	1	0	0
SERPINA3	1081	7389	2747	2490
LINC00552	0	0	0	0
TGIF2	117	384	372	283
KIAA1210	0	4	13	5
FABP4	0	0	0	0
CUTA	913	3666	3895	1963
KBTBD8	11	4	41	3
TMEM147	629	1742	2097	1071
OPA1	839	1615	1364	948
ITGB1BP2	0	1	0	0
GRWD1	678	1399	1936	989
TMEM86A	66	394	231	148
NFXL1	206	545	486	269
ERCC-00171	0	0	0	0
TRIML2	0	0	1	0
ATP13A1	571	1833	1802	1188
PPP6R1	920	2255	2775	1575
TNFRSF1A	731	3043	2075	1291
KIAA1257	60	236	126	107
IQSEC3	0	0	3	2
CDS2	218	661	592	473
CCDC24	40	161	103	50
SAMD8	95	198	265	140
EIF3D	2447	7622	6051	3775
ADAM21P1	1	0	0	0
ATP6V0E1	786	1515	2013	1022
RAB12	430	944	1032	629
PARD6A	47	205	161	98
CETN3	354	528	497	214
PRAC1	0	0	0	0
DACT3-AS1	1	0	0	0
ERCC-00148	0	0	0	0
SLCO5A1	0	0	0	0
RAB8A	707	1565	1684	1029
MMP27	0	0	0	0
ATAT1	58	191	162	86
MBOAT1	314	745	493	321
BAIAP2L1	287	902	550	439
GADL1	0	0	0	0
SERPINA10	0	0	0	0
TUSC1	100	306	276	162
ZNF296	71	241	343	158
SLC22A14	0	0	0	0
SNHG3	397	1123	1251	700
CDC14A	65	113	178	86
NDUFV1	1420	6765	4562	2682
OR52N2	0	0	0	0
LOC100507144	2	4	2	3
SNORD114-31	0	0	0	0
CNTD1	120	12	15	9
PDDC1	187	913	843	665
KLK4	0	0	1	0
SNORD114-10	0	0	0	0
SGCZ	0	0	0	1
LIFR-AS1	50	247	107	82
MIR8089	0	0	0	0
ROPN1L	12	21	18	9
OR8U8	0	0	0	0
SCN9A	0	0	2	1
SRCAP	1033	3317	3945	2871
SPATA4	0	0	0	0
TTTY10	0	0	0	0
RMDN2-AS1	0	0	0	0
GAL3ST4	0	0	0	1
ZNF252P-AS1	3	0	0	1
GADD45G	10	66	29	20
CMC4	133	200	255	113
HPS4	153	632	431	304
CCDC42	0	0	0	0
ADAM8	2	8	9	14
FAM195A	268	939	1095	593
GPR82	0	0	0	0
LINC00659	2	29	16	11
C1orf168	12	26	31	17
UBALD2	247	1315	283	122
CAPN15	420	1703	2298	1354
NR6A1	29	66	99	83
KDM3B	960	2312	2524	1496
CD6	4	13	9	5
TMED8	54	199	157	142
CCL1	0	0	0	0
DPH3	224	351	347	213
LOC101927865	0	0	0	0
LOC389765	4	27	6	8
RLN2	17	55	48	29
NPIPA1	1	9	13	7
C1QTNF3	1	7	7	5
KLC1	869	1874	1942	1067
MUC1	609	4721	1226	840
C2orf40	0	0	0	0
C3orf35	0	0	2	2
LINC00639	2	8	14	13
PCSK1N	21	170	202	128
ITCH	515	999	1061	715
CDH12	29	48	118	63
FCN1	0	0	0	0
RORA	6	19	11	8
OR5H14	0	0	0	0
NUP93	565	880	1154	613
AHSA2	31	112	41	74
HOGA1	0	8	7	4
ISLR	0	0	0	0
MIR4741	0	0	0	0
SNORA5A	2	0	0	2
FADD	416	929	1207	572
MIR1181	0	0	0	0
FENDRR	0	0	0	0
TBKBP1	65	252	224	142
H2AFB3	0	0	0	0
PPP2R2C	980	1925	2172	1417
LRRK1	17	78	44	36
SLN	0	0	0	0
POLR2J3	13	32	35	13
SMA5	2	23	18	6
C7orf34	0	0	0	0
TEN1	0	0	0	0
WFDC9	0	0	0	0
SKA1	41	128	80	64
GPR142	0	0	0	0
SHQ1	280	354	569	306
SNORD19	0	0	2	0
