Gene_ID	MCF7-2-DMSO-1	MCF7-2-DMSO-2	MCF7-2-DMSO-3	MCF7-2-LY-1	MCF7-2-LY-2	MCF7-2-LY-3	MDA-MB453-DMSO-1	MDA-MB453-DMSO-2	MDA-MB453-DMSO-3	MDA-MB453-LY-1	MDA-MB453-LY-2	MDA-MB453-LY-3	MDA-MB-468-DMSO-1	MDA-MB468-DMSO-2	MDA-MB468-DMSO-3	MDA-MB468-LY-1	MDA-MB468-LY-2	MDA-MB468-LY-3
TMEM244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4C15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC52A3	299	385	482	341	265	421	179	198	163	281	228	334	161	164	234	63	75	120
E2F1	1789	2361	2792	815	514	1136	2496	2507	3143	1038	854	707	858	1153	1593	919	1141	1599
GPR101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM54	13	9	17	35	19	38	0	0	0	0	0	1	0	0	1	0	0	0
EME1	193	249	354	107	75	173	203	209	258	114	95	40	38	46	69	40	52	94
RLN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO28	899	1301	1799	1249	961	1393	1734	1697	1899	2714	2086	2108	913	965	1363	816	831	1249
OR2L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC7A13	0	1	1	0	1	1	2	2	1	23	21	21	0	0	0	0	0	0
PHF16	619	862	1133	836	596	1018	840	834	1068	1291	1006	895	437	596	832	411	484	627
PI15	12	16	24	15	13	21	0	0	0	0	0	0	0	0	0	0	0	0
ADH6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS9D1	409	617	679	471	446	614	64	75	94	270	229	283	433	524	674	412	564	578
COG6	358	636	838	720	505	739	460	449	588	1392	1064	1013	245	275	397	135	182	313
GRIA1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPH	442	1291	671	371	1056	481	516	535	628	514	378	364	3518	4296	5645	4378	6130	6776
LANCL3	0	0	0	0	0	0	1	0	0	0	1	0	3	0	4	1	2	0
C6orf201	3	6	3	0	1	2	6	2	2	5	4	5	1	3	0	0	1	0
ZNF32	538	798	843	521	486	547	300	328	427	619	468	573	181	256	328	140	221	246
MSMP	1	3	0	0	0	2	1	1	0	1	1	3	0	0	6	0	1	1
CSF2RB	0	0	1	8	1	8	0	0	0	0	0	0	12	6	13	1	0	2
PPBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYPL1	1387	1968	2307	1714	1334	1914	1131	994	1442	1612	1114	1474	2477	2695	3506	2259	2475	3226
TNPO2	1451	1829	3521	2103	1616	3246	1617	1743	1521	2745	2191	2329	866	1204	2257	1033	1271	3164
HSPB6	6	18	10	2	3	0	5	4	6	0	0	2	4	2	4	2	5	7
C11orf88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2J2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
KIAA0087	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDF10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf220	0	7	1	2	4	4	0	1	0	0	0	0	0	0	0	0	0	2
ZNF350	229	373	427	267	238	287	131	143	211	815	673	676	144	194	209	136	197	217
AP1S3	38	36	83	80	45	61	73	88	78	126	127	109	129	123	206	180	194	280
PIK3C3	262	383	445	349	285	354	448	471	505	885	674	735	366	351	506	265	322	417
OR4A47	12	19	25	20	12	22	0	0	0	0	0	0	0	0	0	0	0	0
FDFT1	4192	5914	6118	4358	3536	4805	3049	2957	4654	2202	1812	2461	5278	6711	8351	4750	6509	6752
NEUROD2	1	2	3	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0
OR2T6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R35	400	582	668	293	267	408	204	183	226	294	223	275	352	369	501	394	478	580
DIDO1	3657	4502	7108	3916	2884	4999	2055	2034	2701	2955	2290	2138	1405	1670	2260	1086	1393	1855
FOXP3	6	14	11	6	4	13	49	46	36	105	90	99	4	2	2	4	4	6
SETD5	2579	3973	7346	4752	3110	6833	1500	1545	1493	2406	1997	1757	1050	1166	2296	845	1006	2641
OSBPL11	395	466	820	618	434	728	402	377	446	558	445	401	786	884	1233	742	792	1122
AC079602.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C16orf52	109	132	196	117	94	144	73	75	99	170	133	101	63	73	127	88	73	153
NBPF10	273	538	1377	1708	1204	2314	47	47	39	104	101	83	125	146	337	145	156	568
RNF167	2575	3380	3320	2645	2278	2984	1204	1152	1420	2003	1620	2079	1508	1843	2382	1444	2086	1900
PCDHA10	111	131	227	289	200	322	46	44	61	330	273	298	1	0	0	0	0	0
PLXDC1	0	0	0	2	2	0	4	1	4	0	1	0	4	2	6	2	2	5
YES1	2452	3447	4543	2912	2045	3278	465	516	706	491	377	543	6985	8356	11602	5544	6711	9260
CERS1	47	62	89	117	82	93	1	2	3	1	2	2	206	263	358	216	328	320
CEP72	89	146	195	145	110	213	78	86	115	124	100	85	129	157	236	115	181	324
TAF1L	2	0	2	3	1	6	1	0	1	4	4	0	0	1	0	1	0	4
BUB3	3749	4938	6158	3613	2501	3910	3386	3289	4489	5744	4566	5868	2186	2451	3488	2042	2358	3332
SLC25A52	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
GALNT13	2	3	4	21	8	12	3	5	2	11	2	1	0	0	0	0	0	0
PAGE2B	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0
TENM2	0	0	0	0	0	3	1	0	0	1	0	1	1	0	0	2	0	0
PPFIBP1	255	449	683	573	400	723	247	239	242	777	574	496	505	475	1067	551	497	1279
AIFM1	2384	3163	4038	3765	2833	4539	1798	1765	2177	3573	2835	2938	2228	2438	3510	1950	2607	3077
VAX2	137	151	280	207	153	263	0	0	0	0	0	0	49	44	83	10	20	36
PSMA7	10159	14491	16414	8881	6797	10271	4786	4694	5776	4737	3784	4832	4151	4729	6399	4305	5185	5552
NUBP1	647	801	1040	553	395	672	582	539	694	521	408	472	282	280	418	282	293	355
TSPYL1	4065	5991	8261	8593	6924	9409	2414	2673	2914	8979	7177	7272	1695	1888	3127	1213	1491	2584
C10orf137	493	817	1013	481	447	679	173	167	172	230	153	181	292	292	469	322	289	572
KCNG1	74	112	130	187	127	218	0	0	0	1	0	0	261	286	438	320	334	515
AL031666.2	2	1	3	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0
SUCO	2064	2905	4142	2955	2197	3373	1051	1068	1483	4019	2959	3690	606	625	1076	609	616	1039
JMJD7	72	101	133	86	111	120	178	197	224	320	292	286	64	76	102	51	72	74
SLC28A2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PHYHD1	0	1	1	1	0	0	0	0	0	0	0	0	1	2	1	0	0	0
AC008271.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
DCAF7	9802	13294	18275	10993	9073	13674	2593	2414	2931	3589	3025	3620	2516	2878	4006	2005	2621	3456
ANGPT2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1
INPP5B	164	310	469	236	184	302	243	190	230	466	373	472	506	562	1063	329	461	779
PRDX5	6278	9037	9042	6745	6543	8098	4017	3730	4962	5404	4269	5346	3675	4617	6052	3270	5138	4750
PIAS4	756	976	1455	746	638	1158	687	604	751	784	700	775	520	583	824	505	590	815
FCHO1	160	269	371	236	182	307	0	0	5	1	0	0	137	174	205	163	144	140
SNAPC2	543	763	841	483	385	616	508	533	649	693	535	823	345	370	484	371	414	382
TMEM167B	1227	2185	2185	2314	1990	2337	357	334	400	1456	1089	1271	719	758	1233	820	924	1170
CUEDC1	899	1118	1372	1180	954	1400	612	669	685	1090	830	838	102	112	172	227	208	227
SAPCD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1
C7orf50	3888	5004	5996	3669	2594	4339	1297	1226	1479	1279	1085	1175	2025	2398	3082	1725	2499	2324
TMEM69	316	497	520	385	308	437	311	312	403	458	313	431	201	258	359	267	257	348
CHIT1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP5D1	3	5	5	3	9	5	1	0	0	2	2	6	11	4	17	6	15	16
NPDC1	2532	3820	3770	5300	5002	6509	5001	4805	7306	15872	13699	15885	780	1007	1276	882	1196	1328
TDRD12	1	0	1	5	1	3	1	2	1	5	9	3	4	0	4	2	3	5
CRNKL1	2199	3172	3515	1779	1323	1921	1646	1475	1884	2522	1940	2057	498	578	733	427	465	455
DNAJC21	2227	2787	3635	1945	1489	2234	1632	1473	1992	2229	1724	2201	2419	2782	3635	2220	2832	3069
CEBPG	787	1793	1446	784	1120	954	693	642	777	939	718	869	1319	1473	2278	1553	1843	2547
HTR1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf76	226	276	280	220	141	183	94	106	142	219	149	152	74	77	104	56	68	93
P4HTM	515	726	753	760	781	899	538	531	824	2220	1831	2427	86	101	124	95	133	180
LRRC15	99	146	131	688	480	549	2	0	4	5	2	0	0	0	0	0	1	0
RBPMS2	36	38	56	32	24	40	0	1	0	0	0	1	55	66	109	43	53	73
ZNF414	334	542	465	234	199	300	224	230	307	351	301	415	205	289	331	166	246	233
RHBG	70	119	110	77	44	104	1	1	1	0	0	0	2	2	0	0	0	0
KATNBL1	183	238	317	207	152	215	278	239	340	341	260	343	241	287	343	323	289	281
CREB5	2	3	0	21	31	20	1	0	0	19	15	1	1	4	4	3	2	15
NELFA	798	1303	1659	790	648	1108	351	404	478	429	373	437	575	565	869	519	615	712
ZNF766	742	1115	1069	709	601	743	322	302	417	575	448	525	439	519	673	456	599	601
MLST8	2527	3366	3838	2077	1581	2294	1821	1787	2422	1854	1619	1956	725	936	1185	648	1091	986
PURA	795	1002	1522	656	561	918	456	493	596	579	479	498	620	602	872	497	538	708
CNST	279	413	620	250	212	298	787	773	982	1324	1074	1293	446	470	699	324	354	544
DGCR2	2465	3337	4982	4615	3453	5784	4340	4712	5606	12256	10286	11833	1535	1838	2958	1220	1622	2438
FAM127A	1707	2349	2586	2292	2077	2822	821	835	981	2403	2020	2274	663	686	1040	495	557	703
CCDC39	0	0	0	1	2	4	3	0	2	0	2	3	0	0	0	1	0	1
DPH6	260	261	287	108	81	129	169	155	173	131	97	94	131	114	178	96	130	111
GRIP1	192	244	347	305	221	352	61	65	91	79	75	41	41	34	64	33	47	69
ZNF662	0	0	0	3	2	4	29	60	55	68	53	37	22	29	34	14	13	33
TOLLIP	420	581	857	1117	897	1370	791	817	919	2252	1986	2358	320	479	714	396	593	771
FAM72B	151	157	263	63	37	90	39	40	44	11	5	4	84	90	141	96	110	146
ACTR8	226	325	460	344	237	407	419	385	465	632	467	488	554	601	834	508	618	693
NNAT	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RABEP2	1021	1468	2058	1408	1046	1639	1220	1272	1463	2977	2440	2704	508	572	849	580	656	831
CD2BP2	1972	2809	3595	2614	2211	2950	1889	1886	1775	3853	3167	3589	681	794	1251	865	1031	1449
FANCI	3040	4290	5763	1697	1074	2504	2608	2605	2878	1378	1061	833	1112	1286	1897	1309	1482	2410
FTO	523	893	1104	1201	892	1250	881	900	1183	1606	1258	1425	681	847	1419	481	569	1200
C1orf95	8	9	18	78	56	57	0	0	0	0	0	0	0	0	0	0	1	0
ERCC8	133	162	234	158	131	227	115	119	141	134	148	121	170	206	273	202	197	273
AVEN	344	516	511	244	235	294	301	319	452	521	408	446	503	438	635	542	612	544
SNUPN	209	282	308	194	115	167	141	141	182	167	144	175	340	451	640	290	398	495
OCA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF77	63	67	131	77	38	107	47	53	77	60	40	66	52	54	65	32	51	74
KIR2DL4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HERC5	193	320	309	71	45	66	32	29	39	9	10	5	122	126	116	124	105	152
TNFSF10	32	43	38	50	32	53	315	305	764	294	245	227	279	969	920	74	417	377
QSOX2	507	644	1099	491	338	665	376	363	496	488	423	454	561	599	1178	567	595	1271
PLCE1	14	43	36	125	182	124	6	4	1	73	55	5	684	783	1118	342	382	622
DOK2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PCDH20	25	46	34	5	3	7	384	357	428	219	155	161	3	2	10	12	14	11
NOTCH2NL	624	1029	1388	1417	1064	1828	243	236	194	277	190	246	773	858	1287	644	789	1009
FRAS1	243	395	437	2156	1381	1868	79	61	77	40	36	18	450	543	1109	510	686	2044
DENND4B	1102	1347	2550	1177	857	1783	951	987	1063	1944	1564	2208	753	849	1586	890	1100	1985
AHRR	47	30	192	73	40	97	7	12	19	41	44	33	23	28	42	18	29	53
PTTG1IP	4701	5641	6661	5927	4932	5975	2285	2310	2843	4780	3779	4616	3556	4229	5801	3872	4216	5031
CCL18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL162389.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCP	13084	16940	22125	14176	11238	16996	21803	21365	28184	35885	29034	31353	10910	11725	16026	11343	12109	12251
NEFH	4	1	4	1	0	6	0	0	0	0	0	0	3421	3072	4640	4152	3670	4337
WNK1	4081	5432	8921	7145	4904	9042	4311	4213	4645	8072	6329	6997	2894	3265	5675	2439	3039	5486
RPE	1200	1725	1950	1444	1089	1596	1173	1118	1528	1749	1206	1574	1478	1784	2426	1670	1924	2437
ZNF84	570	794	1040	789	608	856	248	274	341	585	437	477	134	155	282	141	182	283
SLC25A10	3187	3928	4983	2836	2031	3404	3240	3325	4415	4011	3300	3394	1241	1510	2173	1209	1922	1883
RGS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRPS1	1025	1207	1830	877	634	994	903	794	1259	1593	1200	1356	1747	1839	2611	2000	2080	2404
MCM3AP	2070	2461	4196	2468	1717	3406	3099	3135	4177	4940	4103	5190	2487	2753	4186	2278	2744	3734
KRT39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD300LG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10S1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf49	0	5	1	2	3	2	1	0	2	9	16	12	2	2	6	3	2	5
DENND5B	205	198	436	402	308	443	405	413	488	829	661	686	223	239	340	287	283	418
ARL5B	1380	1591	2623	1612	1109	1943	379	381	395	532	409	416	493	557	766	410	433	645
OGDHL	17	27	30	94	103	130	0	0	0	0	0	0	16	12	31	5	20	19
VWA8	869	1432	1693	1046	919	1256	1077	1104	1793	4286	3349	5474	656	752	1197	633	838	1037
ZC2HC1C	2	4	7	23	19	15	43	42	49	49	33	31	25	11	37	16	17	33
HOXD10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GPR152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMG7	3008	3750	6684	4358	3111	5247	2385	2340	2721	4240	3441	3338	2975	3473	4661	2788	3229	4366
SLC9B1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EVC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRMT12	1075	1335	1924	1432	1032	1526	265	286	314	507	416	380	280	319	363	235	270	306
DDX55	450	635	847	595	410	655	572	496	708	645	537	645	481	617	869	624	697	899
STAC2	0	0	0	0	0	0	0	0	2	0	0	0	32	66	121	2	7	2
HSD17B13	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SLTM	1902	2621	3858	1932	1336	2559	2221	2333	2959	3530	2805	3412	1399	1594	2652	1439	1714	2900
KLHL41	2	1	4	3	4	8	2	1	3	2	3	3	1	0	2	1	0	0
PKHD1L1	1	2	1	0	1	0	0	0	0	2	2	1	0	0	0	0	0	0
RIT2	0	0	0	1	1	0	1	0	1	14	6	4	0	0	0	0	0	0
KLHL5	324	462	606	850	582	814	3	6	8	4	1	1	2140	2216	3025	1969	2228	2475
P2RX7	2	1	1	6	2	0	0	0	0	0	0	0	7	10	14	7	7	19
MYCT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RFX3	125	219	258	161	140	210	3	5	9	2	2	3	100	107	153	59	81	117
KPRP	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM41B	118	187	417	243	160	342	76	78	85	152	90	82	194	233	479	166	181	575
RSRC1	820	936	1238	737	537	837	623	609	809	833	667	665	906	1022	1288	763	945	990
MED24	1607	1776	2287	1275	1033	1590	2422	2132	3124	3089	2517	2999	786	1068	1273	711	1031	1188
TBL1XR1	312	546	896	711	380	836	2094	2367	2219	2969	2325	1545	1136	1194	2560	861	880	2105
CUL2	657	961	1449	827	532	927	689	730	942	925	705	865	818	887	1243	804	850	1177
FOXF1	2	0	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
VSIG8	0	0	1	1	0	1	1	0	0	2	1	6	3	3	1	4	5	0
AOAH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
CRYBB3	2	1	5	2	0	2	6	6	4	2	0	4	4	6	8	4	2	10
KRTAP3-2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCTPP1	3059	4073	4817	2797	2082	3191	2777	2828	3419	3447	2759	3012	1415	1589	2178	1589	1809	2020
TENC1	599	835	905	763	535	1055	224	216	272	671	534	400	196	219	258	176	233	281
SOBP	212	256	424	200	181	264	0	0	0	0	0	0	97	171	158	64	142	96
APOOL	98	146	204	128	86	139	96	103	110	272	204	179	107	103	185	99	105	174
TMEM211	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	2
EMP1	44	61	114	14	12	105	3	4	5	7	3	0	1627	1390	2404	2387	1498	2177
CXCR1	0	0	1	0	0	0	17	19	4	59	51	20	0	0	0	1	0	0
TEX9	17	37	34	16	12	22	2181	1884	1965	1843	1429	1669	125	144	203	135	191	229
GNPDA1	459	600	822	763	613	825	750	696	884	1111	809	1100	1261	1351	1927	1675	1753	2106
SLC44A3	69	123	127	113	91	104	20	29	16	6	9	2	588	578	653	486	553	541
C11orf86	0	0	0	1	0	1	0	0	0	0	0	0	17	42	53	9	12	26
PEA15	2822	3348	4762	3863	2746	4390	1352	1398	1537	3065	2540	2730	1534	1834	2509	2334	2238	3196
NKX2-3	2	4	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
MT-ATP6	61073	58329	103572	45813	42573	62664	59063	57386	97637	90020	80440	110699	30655	44770	54292	46157	81670	48041
ID4	0	0	0	0	0	0	0	0	0	0	1	0	1232	1514	1997	578	935	1438
TMLHE	289	464	478	340	253	345	604	606	755	1678	1271	1530	406	464	584	331	466	464
TNNI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCBTB2	89	104	151	94	54	82	68	67	65	40	49	22	10	9	21	5	9	21
PAK2	3114	3967	5525	3904	2949	4384	7013	6814	8141	17234	12812	14330	2857	2997	4203	2671	3014	3762
ZNF599	64	110	121	93	80	116	57	64	63	64	43	64	122	170	244	89	162	209
GNE	194	251	414	155	76	186	537	528	645	648	532	606	850	692	1155	853	689	1333
RFXANK	870	1213	1172	728	665	799	732	772	1010	820	685	873	1125	1454	1715	972	1431	1284
ZNF142	1220	1521	2680	1247	939	1765	1014	926	1265	1532	1343	1387	892	982	1454	850	1117	1546
AC110615.1	1	1	2	3	0	1	0	1	0	3	2	0	1	1	0	3	0	0
WDR43	1772	2155	3670	2481	1515	2524	875	933	1513	1143	890	1053	2206	2535	3679	2434	2413	3430
USP9Y	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	4	5
SCAND3	65	99	140	102	84	122	65	74	87	159	128	114	19	19	21	20	12	28
C7orf76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POPDC3	4	6	4	8	8	10	0	0	1	0	0	0	586	660	719	605	560	540
OR14J1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6K3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-B	490	678	759	1036	792	1090	67	67	82	122	94	26	3100	3719	5526	1999	2507	3977
ACO1	1128	1524	1690	1777	1359	1926	411	403	504	695	499	445	871	1059	1427	724	835	958
KANSL2	574	734	979	602	391	677	426	420	538	418	369	419	473	521	737	470	542	671
CSRNP1	425	441	689	777	617	1013	312	347	400	696	602	740	270	237	454	245	218	328
TNFRSF21	209	237	545	710	492	857	201	210	210	359	270	144	2840	2299	3626	3770	2766	3546
NF2	1287	1873	2674	2248	1655	2710	1671	1741	1987	3298	2817	2724	1541	1717	2840	1658	1764	2949
SSSCA1	932	1194	1381	519	458	724	390	399	523	497	354	500	1091	1146	1499	1093	1145	1196
PLA2G7	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	18	8	10
DPRX	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HES3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FEN1	3708	4827	6837	2683	1670	3443	1919	1976	2881	1084	866	859	2594	2974	4242	3002	3197	4476
C5orf48	0	0	1	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0
ZNFX1	1196	1269	2578	3244	2179	3986	947	897	1172	3484	2822	2588	657	738	1236	638	768	1141
PVRL4	130	256	498	1286	528	1533	554	650	542	1521	1265	824	537	587	1450	366	441	1453
SMIM9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC16	2	4	1	0	1	2	2	0	0	0	0	0	0	0	1	0	0	0
TBC1D2	187	308	372	449	377	566	173	181	215	309	210	255	617	567	842	720	688	870
SYT13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJC14	691	983	1304	881	596	1042	556	583	688	962	742	870	350	418	623	329	432	524
EPS8L3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf46	269	309	465	295	192	328	275	255	277	219	206	124	160	176	285	148	140	345
KRT27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHISA2	84	286	274	344	314	510	48	63	52	14	24	15	34	39	65	68	44	74
GRM8	0	1	3	1	0	0	2	4	2	1	0	0	0	0	0	1	0	0
ZNF644	490	571	952	587	419	627	564	618	801	840	684	738	1444	1781	2343	1122	1388	1899
NUDCD2	573	815	874	568	443	571	665	649	827	578	407	509	1071	1152	1450	996	1235	1383
CTSL	548	679	922	819	586	980	92	79	119	149	128	78	134	126	216	92	106	193
LRWD1	363	497	683	476	309	557	305	319	371	366	284	365	821	866	1398	1107	1069	1474
KIAA1279	1175	1544	2188	1292	948	1494	1090	1094	1369	1689	1239	1505	969	1005	1294	992	904	1101
TTF1	517	688	837	400	338	484	301	308	433	355	235	342	521	522	693	445	543	635
C22orf26	32	34	23	9	9	6	4	3	11	1	0	2	6	5	3	1	2	5
RP11-15E18.4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C17orf98	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0
MIA	0	0	3	0	1	0	0	1	0	1	0	1	31	33	36	25	22	28
CCDC103	1	1	0	1	1	2	1	2	1	2	0	1	1	0	0	2	1	0
IRF2BPL	2280	3392	4685	2865	2590	4313	2524	2520	3047	2737	2250	3692	1190	1580	2029	768	1035	1389
CA10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
C6orf52	47	32	43	45	32	28	6	2	6	20	13	23	6	4	3	15	12	21
MAGEB3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PRDM11	136	180	246	101	91	152	97	135	126	115	93	101	41	33	53	15	24	31
PDZD7	39	60	32	68	74	104	14	21	23	15	10	15	1	2	3	1	3	4
HSD17B3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
DNTTIP2	923	972	1475	831	610	967	1252	1154	1713	1727	1293	1904	2601	2688	3291	3041	2918	3053
POLA1	1967	2825	3223	1246	782	1507	655	586	867	441	359	414	783	1017	1247	756	937	1150
P4HA2	562	576	819	1041	833	1168	523	570	563	949	780	567	329	389	499	474	524	682
PRDX4	2784	3331	3541	2597	2179	2673	1903	1693	2750	1819	1430	1653	1283	1530	1786	1276	1630	1413
EIF4H	5204	7597	9113	5253	4033	6280	4239	3973	5281	4979	3944	4935	3346	3591	5396	3176	3591	4821
NIT2	1093	1384	1592	892	691	872	583	561	713	705	539	554	744	722	1010	642	758	772
STON1-GTF2A1L	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
PPP2R2A	1262	1925	2196	1464	1159	1676	792	791	1008	1194	904	1025	899	1162	1444	1078	1060	1371
GMEB1	501	757	947	539	348	633	436	446	622	484	344	451	353	428	562	303	366	475
COL7A1	27	26	63	41	21	65	8	22	16	2	8	6	7	6	15	13	17	83
C17orf47	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP1A1	21512	28390	34480	23241	18196	26909	9060	8853	10679	14633	11384	11983	38719	53840	70557	34917	51995	56215
FAM159A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPN11	4	0	1	8	2	4	1	0	0	1	0	1	0	0	0	0	0	0
LSM11	136	171	272	172	157	209	108	113	123	90	78	41	211	247	392	206	200	330
PDS5B	1082	1665	2872	1700	1072	2121	1238	1369	1607	1556	1261	1388	1268	1428	2476	900	1125	1882
ARRDC1	1447	1944	2598	2231	1725	2806	3884	3916	4679	8814	7366	8028	818	892	1287	896	972	1182
HGF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP3A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDF2	567	885	872	960	863	1018	526	468	644	1166	899	1129	449	519	699	436	521	660
MAN2B2	1000	1168	1795	1842	1407	2150	483	457	577	2227	1824	1724	215	234	379	154	220	378
POMT2	883	1247	1423	712	631	823	444	406	578	775	580	630	275	320	522	221	305	409
C3orf17	725	1011	1105	904	790	885	430	392	509	625	474	600	1064	1213	1422	1052	1123	1124
CNPY3	1893	2753	2836	1768	1411	1874	1059	994	1481	2083	1682	1939	1051	1261	1771	840	1165	1293
NRG4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCG	0	1	1	0	2	1	1	1	1	1	1	2	0	1	0	0	0	1
GLO1	4032	5610	6014	3710	2960	3984	2691	2521	2978	3607	2788	2948	2368	2793	3157	2291	2606	2698
DNAH1	9	24	53	45	25	57	2	8	4	35	31	35	15	8	27	13	12	50
OR51J1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XPO6	2051	2241	4293	2452	1611	3214	2596	2819	3441	3736	3048	3690	2063	2263	3507	2304	2451	3335
SEPT10	751	1140	1210	1019	750	1075	227	235	258	422	335	430	1488	1715	2262	1166	1440	1880
PDIA2	2	1	6	11	1	8	0	0	0	0	0	0	0	0	0	1	0	1
PCDHA3	149	242	240	156	166	235	0	0	0	0	1	1	18	17	25	3	8	10
ITGB1	2190	3108	4713	6061	4313	6603	1722	1706	2052	5917	4616	4760	2423	2768	5142	2177	2351	5076
